,event_date,provider_account,total_price,total_price_usd,facebook-ads,google-ads,tiktok-ads,pinterest-ads,snapchat-ads,amazon
0,2022-05-09,beauty_shop_1,52395.690000000,52395.690000000,12163.020000000,3041.439821000,524.070000000,0,0,0
0,2022-05-10,beauty_shop_1,75284.220000000,75284.220000000,13365.970000000,2937.638246000,514.730000000,0,0,0
0,2022-05-11,beauty_shop_1,73059.580000000,73059.580000000,17132.500000000,2843.580513000,519.470000000,0,0,0
0,2022-05-12,beauty_shop_1,63342.300000000,63342.300000000,17340.880000000,2809.840769000,714.310000000,0,0,0
0,2022-05-13,beauty_shop_1,79700.660000000,79700.660000000,19241.330000000,3136.399867000,710.490000000,0,0,0
0,2022-05-14,beauty_shop_1,71797.460000000,71797.460000000,21006.510000000,2664.918537000,711.800000000,0,0,0
0,2022-05-15,beauty_shop_1,99198.710000000,99198.710000000,22958.240000000,2845.250192000,716.060000000,0,0,0
0,2022-05-16,beauty_shop_1,78750.860000000,78750.860000000,22629.540000000,3139.464721000,714.820000000,0,0,0
0,2022-05-17,beauty_shop_1,87084.770000000,87084.770000000,21087.940000000,2470.874572000,714.300000000,0,0,0
0,2022-05-18,beauty_shop_1,68948.030000000,68948.030000000,20512.290000000,2585.683059000,721.560000000,0,0,0
0,2022-05-19,beauty_shop_1,69161.360000000,69161.360000000,18125.170000000,2947.035508000,671.140000000,0,0,0
0,2022-05-20,beauty_shop_1,70921.600000000,70921.600000000,17187.200000000,3034.443182000,716.890000000,0,0,0
0,2022-05-21,beauty_shop_1,62826.850000000,62826.850000000,17822.760000000,2873.337820000,719.240000000,0,0,0
0,2022-05-22,beauty_shop_1,74931.510000000,74931.510000000,18780.070000000,2987.207016000,711.340000000,0,0,0
0,2022-05-23,beauty_shop_1,56902.050000000,56902.050000000,15445.970000000,2856.871337000,715.610000000,0,0,0
0,2022-05-24,beauty_shop_1,67372.160000000,67372.160000000,14637.510000000,3514.774440000,723.790000000,0,0,0
0,2022-05-25,beauty_shop_1,91033.240000000,91033.240000000,19099.020000000,3437.859980000,841.250000000,0,0,0
0,2022-05-26,beauty_shop_1,102106.910000000,102106.910000000,26088.710000000,4036.648552000,1125.000000000,0,0,0
0,2022-05-27,beauty_shop_1,130939.160000000,130939.160000000,30134.450000000,3445.409180000,1383.260000000,0,0,0
0,2022-05-28,beauty_shop_1,112880.110000000,112880.110000000,26610.980000000,3677.346009000,1987.960000000,0,0,0
0,2022-05-29,beauty_shop_1,144646.770000000,144646.770000000,30274.000000000,3632.205496000,2186.010000000,0,0,0
0,2022-05-30,beauty_shop_1,193645.170000000,193645.170000000,34892.280000000,4647.482536000,2692.860000000,0,0,0
0,2022-05-31,beauty_shop_1,144910.440000000,144910.440000000,26470.720000000,3844.869598000,2075.210000000,0,0,0
0,2022-06-01,beauty_shop_1,65780.840000000,65780.840000000,17797.240000000,3450.437954000,888.440000000,0,0,0
0,2022-06-02,beauty_shop_1,69154.230000000,69154.230000000,16319.840000000,3560.339235000,897.040000000,0,0,0
0,2022-06-03,beauty_shop_1,64530.010000000,64530.010000000,16092.400000000,3139.605989000,1196.200000000,0,0,0
0,2022-06-04,beauty_shop_1,90406.000000000,90406.000000000,17358.050000000,2975.892288000,1199.020000000,0,0,0
0,2022-06-05,beauty_shop_1,99017.130000000,99017.130000000,19535.270000000,3037.299574000,1190.910000000,0,0,0
0,2022-06-06,beauty_shop_1,71342.780000000,71342.780000000,18363.670000000,3056.308469000,1632.860000000,0,0,0
0,2022-06-07,beauty_shop_1,79352.730000000,79352.730000000,18775.010000000,4174.675482000,1490.440000000,0,0,0
0,2022-06-08,beauty_shop_1,92202.030000000,92202.030000000,17728.290000000,3073.037914000,1400.000000000,0,0,0
0,2022-06-09,beauty_shop_1,90938.180000000,90938.180000000,18201.040000000,4415.015970000,1500.000000000,0,0,0
0,2022-06-10,beauty_shop_1,109347.660000000,109347.660000000,20398.040000000,3745.039287000,1996.870000000,0,0,0
0,2022-06-11,beauty_shop_1,102158.750000000,102158.750000000,23984.110000000,3819.744922000,1879.840000000,0,0,0
0,2022-06-12,beauty_shop_1,83588.870000000,83588.870000000,22250.070000000,3041.593455000,1200.000000000,0,0,0
0,2022-06-13,beauty_shop_1,67894.440000000,67894.440000000,15253.980000000,3066.976293000,1200.000000000,0,0,0
0,2022-06-14,beauty_shop_1,62597.990000000,62597.990000000,14219.140000000,2842.138730000,1198.800000000,0,0,0
0,2022-06-15,beauty_shop_1,77095.560000000,77095.560000000,15212.150000000,2900.104834000,1300.310000000,0,0,0
0,2022-06-16,beauty_shop_1,74270.830000000,74270.830000000,15115.410000000,2819.414319000,1295.560000000,0,0,0
0,2022-06-17,beauty_shop_1,100631.060000000,100631.060000000,20325.630000000,3868.155141000,1294.810000000,0,0,0
0,2022-06-18,beauty_shop_1,91118.920000000,91118.920000000,23526.500000000,2857.464037000,1720.110000000,0,0,0
0,2022-06-19,beauty_shop_1,82871.580000000,82871.580000000,25097.990000000,2142.684177000,1837.530000000,0,0,0
0,2022-06-20,beauty_shop_1,81098.590000000,81098.590000000,23120.760000000,1921.594694000,1000.000000000,0,0,0
0,2022-06-21,beauty_shop_1,69223.110000000,69223.110000000,22335.200000000,2364.773923000,1000.000000000,0,0,0
0,2022-06-22,beauty_shop_1,84868.560000000,84868.560000000,19555.830000000,3294.225088000,1000.000000000,0,0,0
